GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_0	100.0	['Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_gloeosporioides', 'Colletotrichum_asianum', 'Colletotrichum_camelliae', 'Colletotrichum_siamense', 'Colletotrichum_viniferum', 'Colletotrichum_tropicale', 'Colletotrichum_aenigma', 'Colletotrichum_truncatum']	['DIT1_PvcA']	10
Group_1	100.0	['Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_gloeosporioides', 'Colletotrichum_asianum', 'Colletotrichum_camelliae', 'Colletotrichum_siamense', 'Colletotrichum_viniferum', 'Colletotrichum_tropicale', 'Colletotrichum_aenigma', 'Colletotrichum_truncatum']	['MFS_1']	10
Group_2	90.0	['Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_gloeosporioides', 'Colletotrichum_asianum', 'Colletotrichum_camelliae', 'Colletotrichum_tropicale', 'Colletotrichum_siamense', 'Colletotrichum_aenigma', 'Colletotrichum_truncatum']	['Cu-oxidase', 'Cu-oxidase_2', 'Cu-oxidase_3']	9
Group_7	80.0	['Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_asianum', 'Colletotrichum_gloeosporioides', 'Colletotrichum_tropicale', 'Colletotrichum_siamense', 'Colletotrichum_aenigma', 'Colletotrichum_truncatum']	['MFS_1', 'Sugar_tr']	8
Group_8	80.0	['Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_asianum', 'Colletotrichum_gloeosporioides', 'Colletotrichum_tropicale', 'Colletotrichum_siamense', 'Colletotrichum_aenigma', 'Colletotrichum_truncatum']	['MFS_1']	8
Group_9	80.0	['Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_asianum', 'Colletotrichum_gloeosporioides', 'Colletotrichum_tropicale', 'Colletotrichum_siamense', 'Colletotrichum_aenigma', 'Colletotrichum_truncatum']	['Fungal_trans']	8
Group_10	80.0	['Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_asianum', 'Colletotrichum_gloeosporioides', 'Colletotrichum_tropicale', 'Colletotrichum_siamense', 'Colletotrichum_aenigma', 'Colletotrichum_truncatum']	['none']	8
Group_13	70.0	['Colletotrichum_fructicola', 'Colletotrichum_gloeosporioides', 'Colletotrichum_camelliae', 'Colletotrichum_siamense', 'Colletotrichum_viniferum', 'Colletotrichum_tropicale', 'Colletotrichum_aenigma']	['AbfB', 'ArabFuran-catal']	7
Group_3	60.0	['Colletotrichum_fructicola', 'Colletotrichum_gloeosporioides', 'Colletotrichum_asianum', 'Colletotrichum_tropicale', 'Colletotrichum_siamense', 'Colletotrichum_aenigma']	['Aspzincin_M35', 'Lipase_GDSL_2']	6
Group_4	60.0	['Colletotrichum_fructicola', 'Colletotrichum_gloeosporioides', 'Colletotrichum_asianum', 'Colletotrichum_tropicale', 'Colletotrichum_siamense', 'Colletotrichum_aenigma']	['PQ-loop']	6
Group_5	60.0	['Colletotrichum_fructicola', 'Colletotrichum_asianum', 'Colletotrichum_gloeosporioides', 'Colletotrichum_tropicale', 'Colletotrichum_siamense', 'Colletotrichum_aenigma']	['none']	6
Group_6	60.0	['Colletotrichum_fructicola', 'Colletotrichum_asianum', 'Colletotrichum_gloeosporioides', 'Colletotrichum_tropicale', 'Colletotrichum_siamense', 'Colletotrichum_aenigma']	['HET']	6
Group_11	60.0	['Colletotrichum_fructicola', 'Colletotrichum_asianum', 'Colletotrichum_gloeosporioides', 'Colletotrichum_tropicale', 'Colletotrichum_siamense', 'Colletotrichum_aenigma']	['p450']	6
Group_20	50.0	['Colletotrichum_fructicola', 'Colletotrichum_gloeosporioides', 'Colletotrichum_siamense', 'Colletotrichum_tropicale', 'Colletotrichum_aenigma']	['Lactamase_B_2', 'Lactamase_B_3']	5
