Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
KAF2850861.1	6156	7943	0	1163_Plenodomus_tracheiphilus	GCA_010093695.1	1788	1.0	Group_2	Plenodomus_tracheiphilus	DIT1_PvcA	PF05141.13	nan
KAF2850862.1	8711	10081	1	1163_Plenodomus_tracheiphilus	GCA_010093695.1	1371	2.0	Group_3	Plenodomus_tracheiphilus	MFS_1	PF07690.17	nan
KAF2138177.1	6484	7860	1	1170_Aplosporella_prunicola	GCA_010093885.1	1377	2.0	Group_3	Aplosporella_prunicola	MFS_1	PF07690.17	nan
KAF2138178.1	9497	11119	0	1170_Aplosporella_prunicola	GCA_010093885.1	1623	1.0	Group_2	Aplosporella_prunicola	DIT1_PvcA	PF05141.13	nan
EOD43064.1	12620	13988	1	200_Neofusicoccum_parvum	GCA_000385595.1	1369	2.0	Group_3	Neofusicoccum_parvum	MFS_1	PF07690.17	nan
EOD43066.1	15516	17199	0	200_Neofusicoccum_parvum	GCA_000385595.1	1684	1.0	Group_2	Neofusicoccum_parvum	DIT1_PvcA	PF05141.13	nan
XP_033393890.1	6484	7860	1	3704_Aplosporella_prunicola	GCF_010093885.1	1377	2.0	Group_3	Aplosporella_prunicola	MFS_1	PF07690.17	nan
XP_033393891.1	9497	11119	0	3704_Aplosporella_prunicola	GCF_010093885.1	1623	1.0	Group_2	Aplosporella_prunicola	DIT1_PvcA	PF05141.13	nan
KKY14469.1	1	1064	1	429_Diplodia_seriata	GCA_001006355.1	1064	2.0	Group_3	Diplodia_seriata	MFS_1	PF07690.17	nan
KKY14470.1	2891	4544	0	429_Diplodia_seriata	GCA_001006355.1	1654	1.0	Group_2	Diplodia_seriata	DIT1_PvcA	PF05141.13	nan
PVH95939.1	13039	14428	0	784_Periconia_macrospinosa	GCA_003073855.1	1390	1.0	Group_2	Periconia_macrospinosa	DIT1_PvcA	PF05141.13	nan
PVH95940.1	15673	16998	1	784_Periconia_macrospinosa	GCA_003073855.1	1326	2.0	Group_3	Periconia_macrospinosa	MFS_1	PF07690.17	nan
