Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
KAF5241937.1	1	2265	0	1389_Fusarium_anthophilum	GCA_013364935.1	2265	1.0	Group_0	Fusarium_anthophilum	DIT1_PvcA	PF05141.13	nan
KAF5241937.1	1	2265	0	1389_Fusarium_anthophilum	GCA_013364935.1	2265	1.0	Group_0	Fusarium_anthophilum	TauD	PF02668.17	nan
KAF5241938.1	2998	3795	1	1389_Fusarium_anthophilum	GCA_013364935.1	798	2.0	Group_1	Fusarium_anthophilum	none	none	nan
KAF5241939.1	4067	5875	0	1389_Fusarium_anthophilum	GCA_013364935.1	1809	3.0	Group_2	Fusarium_anthophilum	MFS_1	PF07690.17	nan
KAF5241940.1	6717	8261	1	1389_Fusarium_anthophilum	GCA_013364935.1	1545	4.0	Group_3	Fusarium_anthophilum	p450	PF00067.23	nan
KAF5241941.1	8633	9741	0	1389_Fusarium_anthophilum	GCA_013364935.1	1109	5.0	Group_4	Fusarium_anthophilum	ADH_N	PF08240.13	nan
KAF5241941.1	8633	9741	0	1389_Fusarium_anthophilum	GCA_013364935.1	1109	5.0	Group_4	Fusarium_anthophilum	ADH_zinc_N	PF00107.27	nan
KAF5643194.1	1951	2628	0	1433_Fusarium_spp	GCA_013396095.1	678	1.0	Group_7	Fusarium_spp	DJ-1_PfpI	PF01965.25	Group_7.1
KAF5643195.1	3154	3876	1	1433_Fusarium_spp	GCA_013396095.1	723	2.0	Group_7	Fusarium_spp	DJ-1_PfpI	PF01965.25	Group_7.2
KAF5643196.1	4188	6451	0	1433_Fusarium_spp	GCA_013396095.1	2264	3.0	Group_0	Fusarium_spp	DIT1_PvcA	PF05141.13	nan
KAF5643196.1	4188	6451	0	1433_Fusarium_spp	GCA_013396095.1	2264	3.0	Group_0	Fusarium_spp	TauD	PF02668.17	nan
KAF5643197.1	6928	7980	1	1433_Fusarium_spp	GCA_013396095.1	1053	4.0	Group_1	Fusarium_spp	none	none	nan
KAF5643198.1	8284	9835	0	1433_Fusarium_spp	GCA_013396095.1	1552	5.0	Group_2	Fusarium_spp	MFS_1	PF07690.17	nan
