Accession	Id	Description
PF00009	GTP_EFTU	Elongation factor Tu GTP binding domain
PF00025	Arf	ADP-ribosylation factor family
PF00026	Asp	Eukaryotic aspartyl protease
PF00037	Fer4	4Fe-4S binding domain
PF00043	GST_C	Glutathione S-transferase, C-terminal domain
PF00044	Gp_dh_N	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00056	Ldh_1_N	lactate/malate dehydrogenase, NAD binding domain
PF00061	Lipocalin	Lipocalin / cytosolic fatty-acid binding protein family
PF00064	Neur	Neuraminidase
PF00067	p450	Cytochrome P450
PF00069	Pkinase	Protein kinase domain
PF00070	Pyr_redox	Pyridine nucleotide-disulphide oxidoreductase
PF00071	Ras	Ras family
PF00081	Sod_Fe_N	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	Peptidase_S8	Subtilase family
PF00085	Thioredoxin	Thioredoxin
PF00089	Trypsin	Trypsin
PF00102	Y_phosphatase	Protein-tyrosine phosphatase
PF00106	adh_short	short chain dehydrogenase
PF00107	ADH_zinc_N	Zinc-binding dehydrogenase
PF00108	Thiolase_N	Thiolase, N-terminal domain
PF00109	ketoacyl-synt	Beta-ketoacyl synthase, N-terminal domain
PF00111	Fer2	2Fe-2S iron-sulfur cluster binding domain
PF00112	Peptidase_C1	Papain family cysteine protease
PF00113	Enolase_C	Enolase, C-terminal TIM barrel domain
PF00117	GATase	Glutamine amidotransferase class-I
PF00120	Gln-synt_C	Glutamine synthetase, catalytic domain
PF00121	TIM	Triosephosphate isomerase
PF00128	Alpha-amylase	Alpha amylase, catalytic domain
PF00132	Hexapep	Bacterial transferase hexapeptide (six repeats)
PF00135	COesterase	Carboxylesterase family
PF00141	peroxidase	Peroxidase
PF00142	Fer4_NifH	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
PF00148	Oxidored_nitro	Nitrogenase component 1 type Oxidoreductase
PF00149	Metallophos	Calcineurin-like phosphoesterase
PF00150	Cellulase	Cellulase (glycosyl hydrolase family 5)
PF00155	Aminotran_1_2	Aminotransferase class I and II
PF00156	Pribosyltran	Phosphoribosyl transferase domain
PF00160	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00162	PGK	Phosphoglycerate kinase
PF00171	Aldedh	Aldehyde dehydrogenase family
PF00174	Oxidored_molyb	Oxidoreductase molybdopterin binding domain
PF00175	NAD_binding_1	Oxidoreductase NAD-binding domain
PF00180	Iso_dh	Isocitrate/isopropylmalate dehydrogenase
PF00182	Glyco_hydro_19	Chitinase class I
PF00185	OTCace	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	DHFR_1	Dihydrofolate reductase
PF00190	Cupin_1	Cupin
PF00195	Chal_sti_synt_N	Chalcone and stilbene synthases, N-terminal domain
PF00198	2-oxoacid_dh	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199	Catalase	Catalase
PF00201	UDPGT	UDP-glucoronosyl and UDP-glucosyl transferase
PF00202	Aminotran_3	Aminotransferase class-III
PF00205	TPP_enzyme_M	Thiamine pyrophosphate enzyme, central domain
PF00206	Lyase_1	Lyase
PF00208	ELFV_dehydrog	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00211	Guanylate_cyc	Adenylate and Guanylate cyclase catalytic domain
